Crossover Probability (p),Empirical BER
0.319,0.44742000
0.320,0.44640000
0.321,0.44742000
0.322,0.45051000
0.323,0.44966000
0.324,0.44949000
0.325,0.45124000
0.326,0.45469000
0.327,0.45513000
0.328,0.45616000
0.329,0.45423000
0.330,0.45509000
0.331,0.45569000
0.332,0.45839000
0.333,0.45914000
0.334,0.45862000
0.335,0.45972000
0.336,0.45722000
0.337,0.45757000
0.338,0.45958000
0.339,0.45719000
0.340,0.46094000
0.341,0.46163000
0.342,0.46275000
0.343,0.46298000
0.344,0.46318000
0.345,0.46391000
0.346,0.46845000
0.347,0.46424000
0.348,0.46529000
0.349,0.46763000
0.350,0.46662000
0.351,0.46951000
0.352,0.46728000
0.353,0.46837000
0.354,0.46809000
0.355,0.46632000
0.356,0.47197000
0.357,0.47160000
0.358,0.47240000
0.359,0.46608000
0.360,0.47599000
0.361,0.47417000
0.362,0.47567000
0.363,0.47358000
0.364,0.47471000
0.365,0.47505000
0.366,0.47168000
0.367,0.46984000
0.368,0.47534000
0.369,0.47880000
0.370,0.47681000
0.371,0.47228000
0.372,0.47720000
0.373,0.47919000
0.374,0.47866000
0.375,0.47665000
0.376,0.48020000
0.377,0.47755000
0.378,0.47938000
0.379,0.48004000
0.380,0.48003000
0.381,0.47840000
0.382,0.48155000
0.383,0.48496000
0.384,0.48035000
0.385,0.48347000
0.386,0.48343000
0.387,0.48762000
0.388,0.47960000
0.389,0.48147000
0.390,0.48223000
0.391,0.48332000
0.392,0.48570000
0.393,0.48329000
0.394,0.48438000
0.395,0.48709000
0.396,0.48635000
0.397,0.48387000
0.398,0.48562000
0.399,0.48369000
0.400,0.48705000
0.401,0.48438000
0.402,0.48788000
0.403,0.48544000
0.404,0.48766000
0.405,0.48854000
0.406,0.49183000
0.407,0.48903000
0.408,0.48805000
0.409,0.48951000
0.410,0.48919000
0.411,0.48799000
0.412,0.49107000
0.413,0.48677000
0.414,0.49028000
0.415,0.48792000
0.416,0.49047000
0.417,0.49116000
0.418,0.49049000
0.419,0.49203000
0.420,0.49494000
0.421,0.49167000
0.422,0.48961000
0.423,0.49196000
0.424,0.49274000
0.425,0.49317000
0.426,0.49021000
0.427,0.49334000
0.428,0.49747000
0.429,0.49491000
0.430,0.49387000
0.431,0.49422000
0.432,0.49261000
0.433,0.49596000
0.434,0.49409000
0.435,0.49345000
0.436,0.49479000
0.437,0.49495000
0.438,0.49574000
0.439,0.49551000
0.440,0.49494000
0.441,0.49489000
0.442,0.49597000
0.443,0.49507000
0.444,0.49847000
0.445,0.49369000
0.446,0.49511000
0.447,0.49704000
0.448,0.49868000
0.449,0.49588000
0.450,0.49615000
0.451,0.49904000
0.452,0.49640000
0.453,0.49632000
0.454,0.49517000
0.455,0.49493000
0.456,0.49699000
0.457,0.49584000
0.458,0.50005000
0.459,0.49725000
0.460,0.49770000
0.461,0.49669000
0.462,0.49966000
0.463,0.49759000
0.464,0.49878000
0.465,0.49838000
0.466,0.49994000
0.467,0.49916000
0.468,0.49609000
0.469,0.49933000
0.470,0.49793000
0.471,0.50066000
0.472,0.49985000
0.473,0.50086000
0.474,0.50027000
0.475,0.49975000
0.476,0.49888000
0.477,0.49594000
0.478,0.49946000
0.479,0.49891000
0.480,0.50278000
0.481,0.50014000
0.482,0.49922000
0.483,0.50311000
0.484,0.50011000
0.485,0.50059000
0.486,0.49759000
0.487,0.50057000
0.488,0.50227000
0.489,0.49799000
0.490,0.50307000
0.491,0.50138000
0.492,0.50021000
0.493,0.50139000
0.494,0.50127000
0.495,0.49842000
0.496,0.50035000
0.497,0.49988000
0.498,0.49912000
