Crossover Probability (p),Empirical BER,P_e Lexicographic,P_e Anti-Lexicographic,P_e Coin-Flip
0.113,0.09360000,0.07110634,0.07433341,0.07406904
0.114,0.09060000,0.07220426,0.07549858,0.07522567
0.115,0.09534000,0.07330756,0.07666970,0.07638808
0.116,0.10050000,0.07441615,0.07784670,0.07755618
0.117,0.10237000,0.07552998,0.07902950,0.07872990
0.118,0.10401000,0.07664898,0.08021803,0.07990916
0.119,0.10320000,0.07777306,0.08141221,0.08109388
0.120,0.10493000,0.07890218,0.08261196,0.08228398
0.121,0.11034000,0.08003625,0.08381720,0.08347939
0.122,0.10978000,0.08117522,0.08502787,0.08468003
0.123,0.11464000,0.08231901,0.08624388,0.08588583
0.124,0.11413000,0.08346755,0.08746515,0.08709669
0.125,0.11994000,0.08462079,0.08869163,0.08831256
0.126,0.12003000,0.08577864,0.08992322,0.08953335
0.127,0.12483000,0.08694106,0.09115985,0.09075898
0.128,0.12837000,0.08810796,0.09240145,0.09198939
0.129,0.13036000,0.08927929,0.09364794,0.09322448
0.130,0.12929000,0.09045497,0.09489925,0.09446420
0.131,0.13346000,0.09163495,0.09615531,0.09570846
0.132,0.13500000,0.09281916,0.09741604,0.09695719
0.133,0.13614000,0.09400753,0.09868136,0.09821031
0.134,0.13415000,0.09520000,0.09995121,0.09946776
0.135,0.14141000,0.09639651,0.10122550,0.10072945
0.136,0.14183000,0.09759699,0.10250417,0.10199530
0.137,0.14351000,0.09880137,0.10378714,0.10326526
0.138,0.14869000,0.10000960,0.10507435,0.10453924
0.139,0.14890000,0.10122160,0.10636571,0.10581717
0.140,0.15488000,0.10243733,0.10766116,0.10709898
0.141,0.15419000,0.10365671,0.10896061,0.10838460
0.142,0.15840000,0.10487969,0.11026402,0.10967395
0.143,0.16297000,0.10610620,0.11157129,0.11096696
0.144,0.16455000,0.10733618,0.11288236,0.11226355
0.145,0.16468000,0.10856957,0.11419715,0.11356367
0.146,0.16371000,0.10980630,0.11551560,0.11486724
0.147,0.16749000,0.11104633,0.11683764,0.11617418
0.148,0.17360000,0.11228958,0.11816320,0.11748443
0.149,0.17274000,0.11353600,0.11949220,0.11879791
0.150,0.17833000,0.11478553,0.12082458,0.12011456
0.151,0.17820000,0.11603811,0.12216026,0.12143431
0.152,0.18280000,0.11729367,0.12349918,0.12275708
0.153,0.18474000,0.11855217,0.12484127,0.12408281
0.154,0.18837000,0.11981354,0.12618646,0.12541144
0.155,0.19760000,0.12107772,0.12753468,0.12674288
0.156,0.18707000,0.12234466,0.12888586,0.12807708
